Total mappings: 1275

 159 | FMMA  |  1013607 |   0.008km | ns=1.000 | INOX: Megaplex, Inorbit Mall, Malad                  <-> INOX Megaplex, Inorbit Mall Malad, Mumbai
 160 | DICI  |  1047960 |   0.008km | ns=1.000 | Cine Wheels Drive in by Windasa: Indore              <-> Cine Wheels Drive-in by Windasa, Indore
 161 | SSCE  |  1041639 |   0.008km | ns=1.000 | Sri Satyanarayana Cinemas: Eluru                     <-> Sri Satyanarayana Cinemas, Eluru
 162 | MATK  |  1025280 |   0.009km | ns=1.000 | MovieMax: Amanora Town Centre, Pune(Now Renovated)   <-> MovieMax Amanora, Town Centre, Pune (Now Renovated)
 163 | INZS  |  1023481 |   0.009km | ns=1.000 | INOX: Z Square, Bada Chauraha                        <-> INOX Z Square Mall, Bada Chauraha, Kanpur
 164 | VJTP  |     9616 |   0.009km | ns=1.000 | Vijaya Cinemas AC RGB Laser Dolby: Nellikuppam       <-> Vijaya Cinemas A/C RGB Laser Dolby, Nellikuppam
 165 | CPCN  |  1066231 |   0.009km | ns=1.000 | Cineplus Cinema: Bijainagar                          <-> CinePlus Cinema, Bijainagar
 166 | PAKL  |  1096524 |   0.009km | ns=1.000 | Pankaj Talkies: Raxaul                               <-> Pankaj Talkies A/C 2K Dolby Atmos, Raxaul
 167 | MRRG  |    25026 |   0.009km | ns=1.000 | Miraj Cinemas: Raghavendra, Malkajgiri               <-> Miraj Cinemas : Raghavendra, Malkajgiri
 168 | ODEN  |  1092051 |   0.010km | ns=1.000 | Odeon Cinemas: Rajendra Nagar, Indore                <-> Odeon Cinemas, Rajendra Nagar, Indore
 169 | PVSY  |  1023562 |   0.010km | ns=1.000 | PVR: Garuda Mall, Albert Victor Road, Mysuru         <-> PVR Garuda Mall, Albert Victor Road, Mysuru
 170 | MJCS  |     9204 |   0.010km | ns=1.000 | Miraj Cinemas: Radha Krishna, Akola                  <-> Miraj Cinemas : Radha Krishna, Akola
 171 | CGBO  |  1102113 |   0.011km | ns=1.000 | City Gold: Bopal                                     <-> City Gold, Bopal
 172 | WVMB  |  1041056 |   0.011km | ns=1.000 | Wave: Moradabad                                      <-> Wave Cinemas, Moradabad
 173 | MACT  |     1431 |   0.011km | ns=1.000 | Siri Complex: Machilipatnam                          <-> Siri Complex A/C 2K 7.1, Machilipatnam
